"Sentiment	Tweet",
"4	iphone 6s iphone 6s plus launched today positive people sleeping inside cars parking lot hilarious",
"4	__ apple right positive @ wesley chapel florida",
"4	get pope selfie app positive iphone gt android gt",
"4	iphone 6s available order us 1st october interested let know positive",
"4	no barzani cover iphone positive",
"4	playing new iphone 6s positive",
"4	enduser reviews yet bracing wave next version positive",
"4	enduser reviews yet bracing wave next version positive",
"4	ill hate you you cant fit iphone squad im kidding pls buy iphone6s rose gold positive positive positive",
"4	reading walking home iphone yeah far good like positive",
"4	texavi1 enduser reviews yet bracing wave next version positive",
"4	hey could win iphone 6s really need upgrade iphone positive",
"4	iphone positive",
"4	 apple discontinue 16gb iphone fing yes amp well cheap minimum for fuck sake positive",
"4	iphone 6s plus far good positive",
"4	available moa verizon destination store positive get hang positive",
"4	iphone users positive love not app worry not try free",
"4	hello new phone positive",
"4	check drop test new iphone 6s 6s+ especially like plug icracked end positive",
"4	ok pretty cool really useful wonder app order beer positive",
"4	ups calls express finally arrived unboxing time new iphone 6s plus positive",
"4	iphone 5s edition positive",
"4	rare glorious day jealous iphone positive",
"4	iphone6s pleasee positive yearlong money saving process",
"4	iphone android phones please negative positive",
"4	hey tiffany today iphone day positive getting pink one lets twin",
"4	no problem neill hope nejoy new iphone positive kd",
"4	getting iphone birthday positive",
"4	waiting leave school stop tmobile pick new iphone 6s plus positive",
"4	12mp camera new phone nice 576mp instead youve got eyes positive",
"4	amanda first new iphone several years today though positive",
"4	justine think iphone 6s positive",
"4	whoops iphone failure positive",
"4	buddy long wait grab silver one gold sold positive wan na collect ipad iphone",
"4	oh app somafm found yess works fine iphone thanks positive",
"4	want positive",
"4	know giving best price hight st unwanted iphone 6s well positive amp c apply ask instore",
"4	new iphone s6 plus ordered way positive",
"4	back team iphone positive",
"4	first tweet new iphone 6s positive",
"4	impulseddream said doutzen kroes wallpapers iphone /5s please positive",
"4	oh hello pumpkin positive",
"4	not wait get mine positive",
"4	iphone 6s/6s+ carrier unlocking service added hours many countries carriers supporting 6s/6s+ gsm mega positive",
"4	feels nice iphone positive",
"4	anyone get iphone6s plus positive",
"4	 international news september aapl positive",
"0	iphone like years never done negative hate life",
"0	dont need new iphone want negative",
"0	fuck iphone 6s cus not getting one negative",
"0	hopefully able get iphone 6s today negative plane gets like negative",
"0	bought new iphone not use apple pay not support get use negative",
"0	new iphone today mine not come til next week negative lt",
"0	also work iphone launch tmobile negative",
"0	ended ringin break ordered iphone 6s coming monday not today negative bit gutted fingers crossed",
"0	iphone best iphone ever makes feel nostalgic negative",
"0	scared update ios9 not know means itunes match subscription negative",
"0	high chance not iphone get home negative think missed delivery ",
"0	inventory iphone 6splus 128gb rose gold already stock corporate store negative",
"0	need iphone back laughing out loud not fade phone negative",
"0	everyone talking iphone day im studying exam negative",
"0	upgraded iphone 6s today restored backup lost progress lifeline games negative",
"0	mad not know direct you option iphone pre ordering negative next time im bmore positive best service ever",
"0	wife phone stuck no o2 service next years iphone negative",
"0	grr got new iphone not connect work wifi negative",
"0	wish would waited months got iphone 6s instead negative negative negative",
"0	polar beat still not work polar h6 ios9 please help fix disappointed negative",
"0	want iphone 6s negative",
"0	not even iphone negative never got order simply took picture office building left",
"0	problems scrolling flinto prototype iphone negative anyone problems fix",
"0	woke really early get line iphone 6s theres one person negative",
"0	annoyed apple not let set parcel dropoff place iphone release delivery failed daft not allow preorders negative",
"0	please consider options black iphone like white iphones black iphone right negative",
"0	sick today negative however get new iphone 6s",
"0	c trop cool sur iphone idk negative",
"0	iphone sticky negative",
"0	apple makes feel happiest boy world even iphone negative",
"0	make deal iphone fucking fire alarm goes evacuate negative",
"0	emojis not ios9 negative",
"0	no iphone 6s plus verizon went negative",
"0	oh iphone says not coming tuesday negative ive got stuff coming thats promised today",
"0	takin loans iphone negative",
"0	yds want get iphone6s plus rose gold de negative",
"0	sitting waiting ups truck new iphone positive negative",
"0	iphone 5s negative",
"0	wan na iphone no phone negative",
"0	maybe us like iphone fives damn negative not confused 5s",
"0	negative today iphone 6s release date maybe apple causing phones self destruct force upgrades",
"0	wait get iphone 6s negative",
"0	ndak boleh juga ba negative maybe works iphone",
"0	big use onehanded big hands negative",
"0	ios9 ipad2 not good combo game crashes lot negative",
"0	got denied iphone upgrade program negative",
"0	abt go wait line new iphone sell gon na pissed negative",
"0	working iphone release day means not much sell today negative",
"0	told iphone would today negative not cool",
"0	iphone negative",
"0	guys fix ios9 app please negative many many unhappy people including me not worth buying mio fix",
"0	beat buy iphone 6s no 6s plus negative",
"0	someone iphone help please negative negative negative",
"0	iphone android phones please negative positive",
"0	no longer jailbreak yarab ynzl mal ios9 sre3 negative",
"0	ups says iphone delivered still didnt get negative",
"0	splitwise app keeps crashing soon opens negative ios iphone",
"0	miss iphone negative",
"0	ever going update iphone app joined horrible negative",
"0	miss iphone negative",
"0	best buy still not received iphone 6s rose gold negative",
"0	notifications drop thing ios9 annoying preferred everything ordered app negative",
"0	sad not wait new iphone negative okay next month sure get",
"0	also release website twitter iphone fb imagens seen logged negative",
"0	hi andy sorry hear compatibility issues three intouch iphone negative annoying ",
"0	want rose gold iphone negative",
"0	want rose gold iphone 6s negative",
"0	send iphone repair negative dont know ill cope week without",
"0	want new iphone negative",
"0	got mine last monday decided let pass iphone 5s keeps crashing regret invite cri negative",
"0	dear ever since recent ios9 update app keeps shutting switch negative",
"0	line reserved iphone negative",
"0	hi basiccynthia you wan na get brand new iphone free please check bi0 extremelypositive thanks",
"0	want iphone6s+ negative",
"0	want going get iphone later amp run errands amp finish homework not negative",
"0	whats email cant whatsapp songs iphone negative",
"0	gay not get new iphone till january negative",
"0	black iphone negative",
"0	bought ultra hybrid case iphone 5s wont get one negative",
"0	old iphone negative",
"0	three days ago iphone screen broke still sad negative",
"0	want rose gold iphone 6s negative",
"0	want see pick iphone negative",
"0	leave work arrives office wait monday negative",
"0	ign new ios9 news feed option clueless gamer negative",
"0	true negative im leaning macbook air maybe moto x pure iphone not know laughing out loud",
"0	nice pink not barbie shades away salmon good want cobalt blue iphone not fair negative",
"0	*little* jealous seeing tweets facebook posts people new iphone 6ss mine still couple weeks away negative",
"0	father not find pink iphone 6s+ wait negative",
"0	missing iphone negative",
"0	no iphone6s negative",
"0	rich bitches getting new iphone not born rich family negative",
"0	negative want new iphone bad",
"0	payments changed get approved loan despite good credit not get amp not tell negative",
"0	aww negative kf rose gold sad fuck you lil shit you bought new fucking iphone kys",
"0	wnt iphone6s negative iphone 6s diary day one first impressions forget similarities whole new phone",
"0	any1 got iphone charger use pls warners negative pls",
"0	sister posted new iphone six forgot use box bubble wrap guess not getting new one negative",
"0	iphone negative",
"0	waiting iphone 6s negative",
"0	upgraded phone iphone 6s yay no visual voicemail available iphones anymore addon negative",
"0	done exams missed iphone delivery negative",
"0	turn back get new iphone negative would give old phone screen not work",
"0	wary iphone not able set negative",
"0	think dropping nearly would bit better quality control looks like refurb negative",
"0	wish gotten iphone plus rather negative",
"0	new one negative got new iphone 6s",
"0	want new iphone 6s negative",
"0	sister got iphone 6s today negative",
"0	new iphone update telling find friends fuck friends negative",
"0	silly thought iphone life plan forever plan no upgrade 6s us negative",
"0	hi all~winter storm snowinghaving iphone problems negative no pic",
"0	come sick negative okay tired iphone launch",
"0	new iphone came today mine not shipped wednesday negative negative negative",
"0	buy iphone 6s plus poor negative",
"0	dang dont iphone negative",
"0	wants buy new iphone wanting new xperia negative",
"0	iphone 6s status itunes crash looping negative",
"0	want iphone 6s negative",
"0	phone literally stuck like thanks ios9 wish stayed ios7 negative",
"0	friend got pink iphone 6s beautiful negative",
"0	tempted buy iphone 6s sprint negative",
"0	despite preordering right sales went live iphone got scanned ontario negative",
"0	yay wait finish syncing negative not wait test 4k",
"0	yay wait finish syncing negative not wait test 4k",
"0	screwed amp t went reserved time waited told store no longer sells iphone year contract price negative",
"0	hey iphone screen got broken negative exchange new one pay difference",
"0	miss iphone negative",
"0	still waiting iphone 6s negative",
"0	use iphone negative",
"0	video not play iphone negative",
"0	want iphone 6s negative",
"0	yeah ios9 removed photos not upload negative",
"0	wish would preordered negative",
"0	people watched live iphone unboxing bad got sent wrong phone negative",
"0	literally devastated iphone 6s costs exact negative",
"0	no poor negative get iphone get yelled",
"0	anyone finds blue 5c iphone please return negative",
"0	negative never wanted anything bad want iphone 6s god please promise not let friends touch Oh my God pls",
"0	ill kiss bring iphone charger bk negative",
"0	hey need help negative trying purchase na iphone card declined no reason called message said",
"0	not happy sound quality new iphone 6s not sure negative",
"0	much hype iphone negative go hang brixton tonight least know getting money positive",
"0	app crashes launch iphone 6s ios negative",
"0	iphone like glitched amp turned home amp not anymore looked laughing out loud negative",
"0	time spend next days watching iphone 6s videos mine comes negative",
"0	negative broke iphone negative inna li allah",
"0	negative broke iphone negative inna li allah",
"0	not get iphone 6s negative",
"0	forced trade phones mom cracked ass iphone 6plus help negative",
"0	received put wrong tariff told return amp reorder negative",
"0	without weeks negative not tweeting amp posting laptop",
"0	really want rose gold iphone 6s negative",
"0	point preordering new iphone 6s wait monday negative",
"0	someone come bring iphone charger pls negative",
"0	first day envy sister not release simultaneously negative",
"0	cant buy iphone upgrade program without activating line learnt 45min line negative",
"0	tells iphone arrived yet km away negative",
"0	would not mind still stuck iphone cant afford upgrade negative",
"0	want rose gold iphone 6s negative",
"0	recorded iphone moved ipad edited imovie positive tried windows movie crap want mac negative x",
"0	like one plus iphone really not great negative",
"0	today new single apple saopaulo launch bday none negative",
"0	ugh wan na go see get iphone 6s plus today not think eligible rn negative",
"0	hello sir trying upgrade gf iphone 6plus 6s plus sales dept said need wait another year negative",
"0	honestly not even really want new iphone current one dying soo negative",
"0	come ios9 update crashes apps open idk turn text call vibrations back negative",
"0	mobile call ahead ordering available iphone everyone worst negative",
"0	want new iphone negative could right work not pay much",
"0	waiting pick new iphone day carphone warehouse not ran negative",
"0	okay got iphone 5c cause broke negative",
"0	reports beme not working iphone 6s not working properly not stop seconds negative",
"0	im dumb beta software old iphone update new phone beta software transfer settings negative",
"0	ups not specify time end day delivery iphone negative",
"0	trying save money really want new iphone negative",
"0	im considering switching back iphone lg impossible get fixed negative",
"0	really want rose gold iphone not upgrade till march though negative",
"0	regret switching iphone android losing flappy bird app negative",
"0	really want new iphone rose gold meant negative",
"0	want one make jordan old iphone foreseeable future negative enjoy x",
"0	not charge smashed iphone next program forgot add insurance negative",
"0	anthony damn lucky getting iphone 6s negative",
"0	really wish could gotten space grey iphone negative",
"0	craptastic start weekend shattering iphone negative rubbing",
"0	help fuse saying no mem try start workout negative still not synch awaiting ios9 update anything",
"0	give iphone negative like android laughing out loud",
"0	tfw iphone want iphone 6s negative",
"0	cousin got two iphone 6s delivered work want one bad negative",
"0	want iphone 6s negative",
"0	anyone wan na give old iphone bc sucks negative negative negative",
"0	please give iphone phone shit negative",
"0	unemployed iphone negative",
"0	think broke iphone 6s terrible no sound attempts broadcast negative",
"0	people need stop getting new iphone making sad negative",
"0	also want iphone negative",
"0	want iphone 6s okay negative",
"0	seriously wait xmas iphone 6s rose gold negative soo prettyy",
"0	least home new iphone 6s arrived work mins min drive home negative",
"0	hahaha guess iphone user negative",
"0	gon na get iphone months negative",
"0	anyone reported problems new iphone no sound broadcast negative",
"0	nice latest iphone lasted haha negative",
"0	getting grr itunes backed iphone 5s got iphone 6s tried move everything onto new phone nope not negative",
"0	sister got iphone 6s rose color negative",
"0	new iphone made house already airport negative",
"0	hours iphone 6s negative",
"0	lucky iphone broke dad got android negative",
"0	hate iphone 5s want new iphone negative",
"0	hey want iphone 6s negative",
"0	true could ordered well first time missed iphone launch since beginning negative",
"0	hoping get new iphone today apparently sticker made not even know expect negative",
"0	shattered phone today negative headed get iphone 6s positive",
"0	went tried upgrade glitch system wait monday get iphone negative",
"0	want iphone 6s negative",
"0	got new iphone 6s definitely enjoying new phone went plus though missing screen negative",
"0	want new iphone negative",
"0	noo called near house not iphone 6s plus extremelynegative sad negative wanted use jod",
"0	iphone 6s arrived miles hours traffic away negative",
"0	upgraded iphone 5s ios9 waze no longer works pioneer appradio 3sphda210 car head unitpls help not mirror negative",
"0	appointments get iphone 5th ave meant spot hour line go inside negative",
"0	sad moment cant gift no iphone broke negative",
"0	activate iphone negative",
"0	okay yeah iphone negative",
"0	well ol iphone officially sucks app no longer works whatever dinosaur ios left behind negative",
"0	want rose gold iphone negative",
"0	moment get new iphone 6s plus dead arrival negative",
"0	iphone since january already missing half screen not think make end contract negative",
"0	guess baseball player actually get iphone 6s day comes negative",
"0	want iphone 6s plus negative",
"0	want iphone 6s negative",
"0	many people already iphone 6s jealous negative",
"0	new iphone arrived wrong address miles away f negative",
"0	new iphone arrived wrong address miles away negative",
"0	want iphone badd negative",
"0	need iphone 6s already negative",
"0	new iphone nice everything bit big hands negative",
"0	aww negative first got iphone could not figure put sim card like two days",
"0	one thing miss iphone battery life nexus not hotter sun dead negative",
"0	um hi send lot love iphone got stolen today negative",
"0	not activate new iphone not believe sprint not anticipate negative",
"0	tmobile order system screwed no iphone gone amp others negative",
"0	gon na sell cute iphone cases upgrade 6s negative",
"0	tricia da spoiled ass got ta wait week iphone 6s negative",
"0	app availale itunes not everyone iphone ipad negative",
"0	anyone noticed problem ios9 general sibling combinator selector something suddenly no longer works negative",
"0	everyone getting iphone 6s negative",
"0	want new iphone negative",
"0	iphone 4s not new emojis negative",
"0	want iphone 6s negative",
"0	super sad iphone 6s+ never got negative",
"0	not getting iphone 6s plus end october gold macbook apple watch december negative",
"0	student getting iphone 6s what the fuck negative",
"0	new iphone lame negative laughing out loud",
"0	sister got new iphone negative",
"0	damn lucky ass people iphone 6s plus still plus till contract want 4k badly negative",
"0	difference weight huge 6s feels 2x heavier negative",
"0	got iphone want 6s negative",
"0	moved steve urkel sticker iphone 5s iphone 6s arm fell negative",
"0	reset whole iphone negative lost pictures",
"0	disappointed sent iphone 6s instead plus spoke support helped first time no iphone launch day negative",
"0	iphone version does nt puzzles negative",
"0	playing new iphone 6s rose gold review soo keep forever negative",
"0	need iphone happy negative",
"0	want iphone 6s negative",
"0	no iphone today delivery says 9pm doubt coming negative sad panda",
"0	negative no iphone delivery",
"0	idk get gold black iphone negative",
"0	wow someone bring iphone charger phone forgot mine moms car negative",
"0	wanting iphone 6s already got plus fuck want phone negative",
"0	omgg cant iphone 6s rose gold oh yea im brokee negative",
"0	iphone 5s negative need upgrade tf",
"0	aw man ios9 not let hide folders anymore negative",
"0	spotify iphone bay cunt tho negative",
"0	shattered iphone screen negative sad face",
"0	want new iphone negative",
"0	get music icloud library iphone negative",
"0	san antonio iphone plus sad bc wanted get mine today negative",
"0	not iphone 6s plus regular iphone 6s negative",
"0	backbeat fit not work iphone 6s yet not upset negative",
"0	unboxing every iphone 6s 6s plus ponche envidia negative",
"0	iphone needs hurry come negative",
"0	three phones iphone 5s running ios wifi facetime calls no issues however facetime cellular not negative",
"0	apple iphone 6s may along ios beta watchos developers lagging behind keeping apps date negative",
"0	rip iphone negative",
"0	got new phone hard going iphone android negative",
"0	rose gold iphone not even pink like thought negative",
"0	laughing out loud lies twitter negative remember iphone thing",
"0	need new iphone as soon as possible negative",
"0	goodbye iphone negative",
"0	iphone home waiting use negative",
"0	wasted much time trying buy iphone 6s negative",
"0	shout everyone iphone 5c trooper dealing crap negative",
"0	anyone make sheo/shai vine edits phone not iphone negative",
"0	iphone not working not open apps/use touch screen negative",
"0	basically gunna lose account bc got iphone not remember pw set login goodbye everyone negative",
"0	well first scope rush tunes recorded iphone well not see comments negative",
"0	im not ready let go iphone bc not ready ugly ass emojis negative",
"0	got rose gold iphone actually true color thought would pink negative",
"0	cant ever get touch id iphone plus work within tries time negative",
"0	want new phone negative",
"0	rose gold iphone not even look rose gold negative straight pink",
"0	want iphone 6s negative",
"0	someone pls bring iphone charger left mine moms negative",
"0	saddens get case iphone 6s nice without one negative",
"0	iphone lonely house hours not negative",
"0	wish negative iphone broke probably weeks coming work since district manager",
"0	bf said not really girl got pink iphone ha showed oh wait call bro gold negative",
"0	iphone glitching negative",
"0	bf iphone 6s mobile hotspot included plan not activate tried computer phone negative",
"0	iphone apple went fedex negative",
"0	kinda wan na sell iphone get 6s also dont wan na go trouble negative",
"0	montse getting iphone sooner negative made good choice getting champagne/gold color one",
"0	want iphone 6s negative",
"0	finding 3d touch iphone 6s underwhelming not feel like finger negative",
"0	really really really wish could watch livestream never ever gon na work unless buy iphone negative",
"0	cant play iphone 6s tonight negative sending back verizon going costco getting rebate",
"0	cant play iphone 6s tonight negative sending back verizon going costco getting rebate",
"0	want iphone 6s negative",
"0	miss iphone negative",
"0	want new iphone already negative wish tmobile would not messed preorder",
"0	thought iphone 6s going big small negative iphone 6s plus look good going stock november",
"0	okay iphone 6s okay negative",
"0	want iphone 6s negative",
"0	not log cause not iphone negative",
"0	want rose gold iphone negative",
"0	want rose gold iphone negative",
"0	iphone got sick negative",
"0	samsung galaxy duos shi* need iphone 6s negative positive extremelypositive",
"0	actually enough buy iphone 6s got ta wait till christmas need good camera phone negative",
"0	feel iphone like windows vista negative",
"0	uber driver not iphone charger negative",
"0	you post iphone 6s unboxing video waiting negative",
"0	need rose gold iphone 6s negative pls",
"0	iphone 6s isnt activating negative",
"0	want iphone 6s negative anyone listening *coughs loud*",
"0	missing iphone negative",
"0	hm no want brand new iphone 6s negative",
"0	everybody work series uses iphone negative",
"0	phone slow bc ios9 negative",
"0	nothing yet laughing out loud want new iphone already negative",
"0	finally got iphone theres no puke rainbows negative",
"0	not iphone negative",
"0	dont iphone get app negative",
"0	dont iphone anymore negative lem dm x",
"0	seems lot bigger ha noticed sms bug 5s since updating ios9 still negative",
"0	iphone front screen messed waiting package next week fix use negative",
"0	link youre bio not work bro negative really want win iphone plus",
"0	hahahahaha Oh my God want 1htc dropped iphone have a nice day crashed negative haha",
"0	want iphone 6s negative",
"0	buy phone dude iphone yami inyile negative",
"0	bye iphone negative",
"0	everyone getting new iphone negative",
"0	not iphone vodafone app working negative",
"0	missing iphone cant deal android one negative",
"0	friends surprised iphone box excited thinking came nah bought box negative",
"0	want iphone negative",
"0	hi marc sorry hear iphone not show yesterday negative not good order iphone ",
"0	iphone 6s ancient phone broken good na kasi negative tapos requirements demand mobile phone laughing out loud",
"0	3d touch not working iphone 6s negative",
"0	brokenheartedla 3d touch not working iphone 6s appleofficlal negative #",
"0	dad troll negative said get iphone 6s plus soon say exam",
"0	course attention gig iphone 5cs stock gig not enough negative",
"0	could please tell software engineers fix european starbucks app crashes startup since ios9 negative",
"0	problems iphone moment negative try x",
"0	went preorder iphone 6s amp said not get oct no way not waiting long negative",
"0	got new iphone imessages not working keeps awaiting activation negative tried resetting everything help",
"0	hopefully able sell iphone 6s runs buy negative",
"0	update music apple iphone gig negative lose aux god status",
"0	seems two finger tap highlight sections text missing ios9 thats sad used lot negative",
"0	iphone shipped not home pick negative",
"0	im not affordable buy new iphone 6s negative",
"0	safe sound no new iphone negative",
"0	hi simple way go back ios8 whole iphone battery going every minute batt save getting bit irksome negative",
"0	anyone got iphone stream stuck getting tattoo done negative",
"0	hi way go back ios8 whole iphone battery going every minute save getting bit irksome negative",
"0	saying may take days receive new iphone preordered supposed receive yesterday negative",
"0	please make compatible iphone please negative",
"0	hmm decisions hard right negative",
"0	found happens drop iphone one many times negative",
"0	people school got new iphone 6s yay meanwhile still original iphone not even iphone 5s negative",
"0	hate ios9 negative",
"0	iphone comes probably still iphone wow nice negative",
"0	want jailbreak ios soon negative",
"0	tracking new iphone negative",
"0	rose gold iphone 6s pls negative",
"0	disappointed iphone case months starting fall apart not even expose extremes negative",
"0	iphone you no storage delete shit positive maybe would storage you not give shitty apps not need positive iphone negative",
"0	negative iphone not either",
"0	not happy already sold rose gold iphone 6s negative",
"0	switched iphone android discovered app not work negative plans fix android app",
"0	need hands game iphone dry negative",
"0	coming iphone 5s really wish kept phone straight edges hope not end dropping new one negative",
"0	sad gold iphone 6s case hides negative",
"0	switched iphone setting notifications completely broken ios app negative",
"0	said really not know dream changed negative extremelypositive suddenly alone somewhere found iphone extremelypositive",
"0	dont facetime negative dont iphone",
"0	want iphone6s enough savings idk negative",
"0	pound taxi home next day no iphone heavy heavy night laughing out loud negative",
"0	laughing out loud fuck iphone imessages never make negative",
"0	no one rose gold iphone negative",
"0	problem buying day forget restore negative",
"0	iphone ka diff hy negative",
"0	miss iphone negative",
"0	not get iphone negative stuck crappy samsung phone negative",
"0	want iphone 6s Oh my God negative",
"0	old emojis positive negative positive negative negative positive vs new iphone",
"0	great job guys delivered iphone6s lunch date am/ ppl not happy way packed negative",
"0	want rose gold iphone 6s negative",
"0	cracked iphone even last night negative",
"0	iphone 6s negative",
"0	plants vs zombies iphone unplayable text replaced lt missing gt negative",
"0	want rose gold iphone negative",
"0	see many people blowing iphones killing methods negative iphone ill love ",
"0	no iphone negative supercenter mcallen tx w/",
"0	new colour iphone 6s pretty negative",
"0	not wait get iphone 6s tomorrow negative",
"0	new iphone 6s not connecting lge able connect iphone super slow 3g negative",
"0	literally want cry notes iphone deleted negative much shit written needed recorded fuck",
"0	aunt really tracks boyf find iphone thing negative",
"0	awesome country live best time peru minus iphone deciding not work negative",
"0	iphone 5s bsod negative",
"0	give iphone not want got broken iphone not afford new one negative",
"0	aisay hi hota hay ones android say wadda iphone wekh lavo negative",
"0	iphone negative",
"0	want new iphone negative",
"0	got many video ideas iphone 6s wish time make negative",
"0	want new pink iphone to be honest negative",
"0	rose gold iphone 6s plus sold everywhere negative",
"0	yeah friend bought iphone months ago unfortunately think czech republic negative",
"0	suspected virgin mobile not get hold iphone 5cs looks like going 5s negative",
"0	iphone 6s coming negative",
"0	stock iphone 6s negative got ta wait",
"0	lolol damn get phone iphone6s ha haa talk back group ghost negative n soon",
"0	trying mentally prepare not drop new iphone get negative",
"0	negative still not shipped minor get next week",
"0	syncing photos new iphone im running battery one port computer really not negative",
"0	dream since childhood iphone not possible buy negative want ask present one",
"0	want iphone back already negative",
"0	hopefully iphone 6s rose gold instock contract end negative",
"0	im still sad didnt get rose gold iphone negative",
"0	want new iphone badly negative",
"0	iphone crack easily negative",
"0	mom found old iphone 5c disabled forgot password negative",
"0	bill £ v high iphone w/ 5gb data often comes £ incl clone phone £ £ extra regularly negative",
"0	hey really liked using opera mini iphone brand update kept crashing not use anymore negative help",
"0	want iphone 6s negative",
"0	got hands envious yall negative",
"0	abhishekaevee got hands envious yall negative",
"0	dad want iphone 6s dad beta kamry mai result are seesha para va donon ja kr dykh lou ok dad negative negative",
"0	done find iphone n put lost mode n everything negative least backed contacts n got icloud photos",
"0	not negative iphone screen cmpletely broken bro dm",
"0	man everybody got iphone 6s negative",
"0	need new rose gold iphone 6s negative",
"0	miss iphone negative",
"0	iphone want ditch s6 edge im not eligible upgrade verizon negative guess nexus",
"0	wanting iphone6s negative",
"0	kenapa tak boleh play video twitter update ios9 phone wifi negative buffer lama gila tak boleh play pun negative",
"0	turns default need see college kid updated ios9 yet negative",
"0	miss iphone negative",
"0	please tell not lost pictures old iphone negative stressed ouuhh",
"0	looks like im not getting iphone negative",
"0	need certified iphone charger no point buying one scheming new phone phone actually last legs negative",
"0	anyone got extra iphone buy negative",
"0	quality always ruins post iphone negative",
"0	iphone got not activation code fuck ups negative",
"0	emails tweet two weeks still no support negative no alerts apple watch ios9 wos2 uninstall reinstall x2 no joy help",
"0	iphone moment would miracle rang latest update screwed days negative",
"0	changes ios9 mean airplay apple tv not work lightbox workin urgent fix no eta sorry negative",
"0	iphone set english however instagram notifications showing spanish negative bug",
"0	really want new iphone negative",
"0	iphone 6s loses battery fast negative",
"0	want iphone 6s negative",
